timestamp,temperature
20210108T0000,0.7125719
20210108T0100,0.39257193
20210108T0200,0.3025719
20210108T0300,0.22257191
20210108T0400,0.122571915
20210108T0500,0.06257191
20210108T0600,0.1625719
20210108T0700,0.23257193
20210108T0800,0.2925719
20210108T0900,0.51257193
20210108T1000,1.1325719
20210108T1100,2.042572
20210108T1200,2.5725718
20210108T1300,2.872572
20210108T1400,2.8225718
20210108T1500,2.642572
20210108T1600,2.4925718
20210108T1700,2.232572
20210108T1800,2.0525718
20210108T1900,1.922572
20210108T2000,1.8125719
20210108T2100,1.592572
20210108T2200,1.0525719
20210108T2300,1.0825719
20210109T0000,1.1525719
20210109T0100,1.2025719
20210109T0200,1.1625719
20210109T0300,1.002572
20210109T0400,0.9325719
20210109T0500,0.8225719
20210109T0600,0.9025719
20210109T0700,0.7125719
20210109T0800,0.44257194
20210109T0900,0.95257187
20210109T1000,2.0525718
20210109T1100,2.8625717
20210109T1200,3.002572
20210109T1300,3.2825718
20210109T1400,3.022572
20210109T1500,3.142572
20210109T1600,3.1525722
20210109T1700,3.082572
20210109T1800,2.962572
20210109T1900,2.932572
20210109T2000,2.832572
20210109T2100,2.6725721
20210109T2200,2.2625718
20210109T2300,1.7025719
20210110T0000,1.222572
20210110T0100,0.75257194
20210110T0200,0.6425719
20210110T0300,0.6425719
20210110T0400,0.6725719
20210110T0500,0.5325719
20210110T0600,0.082571924
20210110T0700,0.012571916
20210110T0800,0.23257193
20210110T0900,-0.07742807
20210110T1000,-0.04742807
20210110T1100,0.3425719
20210110T1200,1.0325719
20210110T1300,1.6725719
20210110T1400,1.902572
20210110T1500,1.932572
20210110T1600,1.6525719
20210110T1700,0.842572
20210110T1800,0.20257193
20210110T1900,-0.10742808
20210110T2000,-0.25742808
20210110T2100,-0.2774281
20210110T2200,-0.37742808
20210110T2300,-0.51742804
20210111T0000,-0.5274281
20210111T0100,-0.5474281
20210111T0200,-0.5574281
20210111T0300,-0.37742808
20210111T0400,-0.4974281
20210111T0500,-0.8374281
20210111T0600,-0.8474281
20210111T0700,-0.7774281
20210111T0800,-0.4674281
20210111T0900,-0.12742808
20210111T1000,0.6725719
20210111T1100,1.352572
20210111T1200,2.0125718
20210111T1300,2.6125717
20210111T1400,2.442572
20210111T1500,2.232572
20210111T1600,1.6725719
20210111T1700,0.6625719
20210111T1800,0.68257195
20210111T1900,0.99257195
20210111T2000,1.1725719
20210111T2100,0.88257194
20210111T2200,0.7925719
20210111T2300,0.7825719
20210112T0000,0.43257195
20210112T0100,0.102571934
20210112T0200,-0.26742807
20210112T0300,0.052571923
20210112T0400,-0.41742808
20210112T0500,-0.16742808
20210112T0600,0.102571934
20210112T0700,0.5525719
20210112T0800,0.74257195
20210112T0900,0.7025719
20210112T1000,0.50257194
20210112T1100,1.1725719
20210112T1200,2.182572
20210112T1300,3.5925717
20210112T1400,2.752572
20210112T1500,3.2825718
20210112T1600,1.8425719
20210112T1700,2.002572
20210112T1800,1.7025719
20210112T1900,1.0325719
20210112T2000,1.4425719
20210112T2100,1.752572
20210112T2200,0.8125719
20210112T2300,0.1625719
20210113T0000,-0.28742808
20210113T0100,-0.22742808
20210113T0200,0.052571923
20210113T0300,0.06257191
20210113T0400,0.122571915
20210113T0500,0.39257193
20210113T0600,0.38257194
20210113T0700,0.122571915
20210113T0800,-0.20742808
20210113T0900,0.052571923
20210113T1000,1.0425719
20210113T1100,2.2425718
20210113T1200,2.412572
20210113T1300,3.062572
20210113T1400,3.712572
20210113T1500,3.5725718
20210113T1600,2.662572
20210113T1700,1.2725719
20210113T1800,0.6725719
20210113T1900,0.042571932
20210113T2000,0.26257193
20210113T2100,-0.7974281
20210113T2200,-1.7974281
20210113T2300,-2.0574281
